timeStamp,elapsed,label,responseCode,threadName,success,bytes,grpThreads,allThreads,Latency,SampleCount,ErrorCount,Hostname
1444416146882,6,169 /ajax/IssueArchive.cfc,200,Thread Group 1-1,TRUE,2943,1,1,6,0,0,ubuntu
1444416146889,5,168 /ajax/IssueYear.cfc,200,Thread Group 1-1,TRUE,1835,1,1,5,0,0,ubuntu
1444416145448,1442,Issue,,Thread Group 1-1,FALSE,808247,1,1,206,0,0,ubuntu
1444416146895,4649,101 /cmp/upfront/sessions,200,Thread Group 1-1,TRUE,12005,1,1,4248,0,0,ubuntu
1444416151551,48,103 /issues/10_12_15,200,Thread Group 1-1,TRUE,9148,1,1,47,0,0,ubuntu
1444416151599,48,104 /resource/templates/global/dynamic_css.cfm,200,Thread Group 1-1,TRUE,14260,1,1,47,0,0,ubuntu
1444416151648,50,105 /resource/scripts/activityMagazines.cfm,200,Thread Group 1-1,TRUE,32092,1,1,47,0,0,ubuntu
1444416151698,211,122 /scholastic/prod/serverComponent.php,200,Thread Group 1-1,TRUE,596,1,1,210,0,0,ubuntu
1444416151909,165,130 /scholastic/prod/perf.rnc,204,Thread Group 1-1,TRUE,193,1,1,0,0,0,ubuntu
1444416152076,180,132 /scholastic/prod/TagAuditBeacon.rnc,204,Thread Group 1-1,TRUE,193,1,1,0,0,0,ubuntu
1444416146894,5351,Send User/Pass,200,Thread Group 1-1,TRUE,68487,1,1,4599,0,0,ubuntu
1444416152257,3287,137 /Videos,200,Thread Group 1-1,TRUE,764047,1,1,47,0,0,ubuntu
1444416155546,49,138 /resource/templates/global/dynamic_css.cfm,200,Thread Group 1-1,TRUE,14260,1,1,49,0,0,ubuntu
1444416155598,55,139 /resource/scripts/activityMagazines.cfm,200,Thread Group 1-1,TRUE,32092,1,1,52,0,0,ubuntu
1444416155654,189,142 /scholastic/prod/serverComponent.php,200,Thread Group 1-1,TRUE,577,1,1,189,0,0,ubuntu
